Num?ro;Ville;Site;Usage;Superficie;Cout_m2;COUT;Taxe_Jouissance;Type_option;Date vente;Date fin contrat;attestation etablie;plan etablie;Presence ONEA;Presence SONABEL
1;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;439;55000;24145000;1500;ACOMPTE 50%;11/01/2023;11/01/2024;NON DEFINI;NON DEFINI;OUI;OUI
2;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;450;50000;22500000;1500;ACOMPTE 50%;02/09/2021;25/01/2024;NON DEFINI;NON DEFINI;OUI;OUI
3;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;450;50000;22500000;1500;ACOMPTE 50%;03/11/2023;03/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
4;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;450;50000;22500000;1500;ACOMPTE 50%;30/08/2023;31/08/2024;NON DEFINI;NON DEFINI;OUI;OUI
5;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;450;50000;22500000;1500;ACOMPTE 50%;14/12/2023;14/12/2024;NON DEFINI;NON DEFINI;OUI;OUI
6;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;450;50000;22500000;1500;ACOMPTE 50%;25/09/2023;25/09/2024;NON DEFINI;NON DEFINI;OUI;OUI
7;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;400;55000;22000000;1500;ACOMPTE 50%;03/07/2020;31/07/2022;OUI;OUI;OUI;OUI
8;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;539;55000;29645000;1500;ACOMPTE 50%;03/07/2020;31/07/2022;NON;NON;OUI;OUI
9;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;09/03/2023;31/12/2023;NON DEFINI;NON DEFINI;OUI;OUI
10;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;13/05/2022;30/12/2022;NON;NON;OUI;OUI
11;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;30/08/2023;31/08/2024;NON DEFINI;NON DEFINI;OUI;OUI
12;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;17/03/2023;17/03/2024;NON DEFINI;NON DEFINI;OUI;OUI
13;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;508;55000;27940000;1500;ACOMPTE 50%;04/05/2021;31/07/2022;NON DEFINI;NON DEFINI;OUI;OUI
14;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;545;55000;29975000;1500;ACOMPTE 50%;28/10/2020;31/12/2023;NON DEFINI;NON DEFINI;OUI;OUI
15;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;25/09/2023;25/09/2024;NON DEFINI;NON DEFINI;OUI;OUI
16;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;25/09/2023;25/09/2024;NON DEFINI;NON DEFINI;OUI;OUI
17;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;03/11/2023;03/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
18;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;450;50000;22500000;1500;ACOMPTE 50%;04/05/2021;31/07/2022;NON;NON;OUI;OUI
19;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;595;55000;32725000;1500;ACOMPTE 50%;28/10/2020;31/07/2022;NON;OUI;OUI;OUI
20;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;522;55000;28710000;1500;ACOMPTE 50%;28/10/2020;31/12/2023;NON DEFINI;NON DEFINI;OUI;OUI
21;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;30/08/2023;31/08/2024;NON DEFINI;NON DEFINI;OUI;OUI
22;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;30/08/2023;31/08/2024;NON DEFINI;NON DEFINI;OUI;OUI
23;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;17/03/2023;17/03/2024;NON DEFINI;NON DEFINI;OUI;OUI
24;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;02/09/2021;19/03/2024;NON DEFINI;NON DEFINI;OUI;OUI
25;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;573;55000;31515000;1500;ACOMPTE 50%;03/07/2020;31/07/2022;NON;OUI;OUI;OUI
