an;air;pluv;prod;prix;sub;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990;165488;669,08;77074,3;75;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991;208900;848,95;69671,68;95;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1992;242700;771,01;69236,23;85;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993;173011;711,35;50729,69;112;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994;119927;982,7;62051,34;120;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995;198801;778,46;64010,86;140;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996;145418;900,5;150451;160;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997;200768;872,9;202630;160;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998;276911;1122,9;343106;167;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999;334770;1066,2;324557;185;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;211931;1171,7;257121;200;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;209113;924,5;212545;200;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;345578;807,6;395031;180;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;412138;1155,7;439247;190;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;443739;840,6;471945;200;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;521466;818,9;535367;175;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;621748;1105;712707;165;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;569857,888;933,8;759858;155;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;378535,6645;1034;377364;165;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;535325,0184;894;720675;168;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;406277,7361;1250,1;483865;210;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;462806,5589;775;529620;245;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;395089,2904;1079,2;441057;253;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;531242;936,2;606206;245;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;629460,1614;1277,9;766221;225;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;651294;1155,4;894982;235;9000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;657840;1190,6;768930;235;192000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;654955,4;681,7;774380;245;18000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;844894,8616;1320,5;844343;245;21450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;473375,2125;1402;482173;265;13621;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;590999,0923;1131,5;724232;270;14000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;566635,1088;1219,1;696635,6206;270;12700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;611324,9213;1233,9;680766,7621;300;72800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;166558,86;820,36;166558,86;325;100000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
