date;production;superficie;precipitation;subvention;prix;air;prod;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/01/1973;9797,58;67;692,3;0;445;66601;9797,58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/01/1974;11321,65;62;839,69;0;444;61520;11321,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/01/1975;18071,09;80;805,52;0;642;68005;18071,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/01/1976;20248,33;79;841,67;0;540;79225;20248,33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/01/1977;14152,06;70;739,58;0;928,56;68767;14152,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/01/1978;22425,57;72;813,63;0;722,28;71714;22425,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/01/1979;28739,57;82;821,51;0;468,72;82030;28739,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/01/1980;23078,74;76;772,33;0;473,52;74948;23078,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/01/1981;21554,68;65;770,06;0;571,26;65240;21554,68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/01/1982;28739,57;72;725,74;0;511,92;71970;28739,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/01/1983;30045,91;77;631,09;0;459,84;76790;30045,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/01/1984;34400,39;80;613,88;0;411,78;82300;34400,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/01/1985;45939,76;95;689,87;0;568,5;94625;45939,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/01/1986;65970,37;115;771,32;0;560,4;54978;65970,37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/01/1987;62922,24;120;668,99;0;596,22;98544;62922,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/01/1988;60745;170;833,36;0;1284,84;165007;60745;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/01/1989;62486,79;165;789,07;0;954,72;160498;62486,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/01/1990;77074,3;176;669,08;0;457,5;165488;77074,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/01/1991;69671,68;170;848,95;0;535,68;208900;69671,68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/01/1992;69236,23;177;771,01;0;408,06;242700;69236,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/01/1993;50729,69;160;711,35;0;344,58;173011;50729,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/01/1994;62051,34;180;982,7;0;349,74;119927;62051,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/01/1995;64010,86;210;778,46;0;455,64;198801;64010,86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/01/1996;88613,67;200;787,08;0;496,38;145418;150451;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/01/1997;138254,74;280;730,76;0;313,02;200768;202630;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/01/1998;119748,2;300;868,33;0;372,06;276911;343106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/01/1999;109950,62;300;870,92;0;407,1;334770;324557;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
