date;production;superficie;precipitation;prix;subvention
01/01/1990;77074,3;165488;669,08;75;0
01/01/1991;69671,68;208900;848,95;95;0
01/01/1992;69236,23;242700;771,01;85;0
01/01/1993;50729,69;173011;711,35;112;0
01/01/1994;62051,34;119927;982,7;120;0
01/01/1995;64010,86;198801;778,46;140;0
01/01/1996;150451;145418;900,5;160;0
01/01/1997;202630;200768;872,9;160;0
01/01/1998;343106;276911;1122,9;167;0
01/01/1999;324557;334770;1066,2;185;0
01/01/2000;257121;211931;1171,7;200;0
01/01/2001;212545;209113;924,5;200;0
01/01/2002;395031;345578;807,6;180;0
01/01/2003;439247;412138;1155,7;190;0
01/01/2004;471945;443739;840,6;200;0
01/01/2005;535367;521466;818,9;175;0
01/01/2006;712707;621748;1105;165;12
01/01/2007;759858;569857,888;933,8;155;3
01/01/2008;377364;378535,6645;1034;165;10
01/01/2009;720675;535325,0184;894;168;3
01/01/2010;483865;406277,7361;1250,1;210;8
01/01/2011;529620;462806,5589;775;245;4
01/01/2012;441057;395089,2904;1079,2;253;2
01/01/2013;606206;531242;936,2;245;1
01/01/2014;766221;629460,1614;1277,9;225;10000
01/01/2015;894982;651294;1155,4;235;9000
01/01/2016;768930;657840;1190,6;235;192000
01/01/2017;774380;654955,4;681,7;245;18000
01/01/2018;844343;844894,8616;1320,5;245;21450
01/01/2019;482173;473375,2125;1402;265;13621
01/01/2020;724232;590999,0923;1131,5;270;14000
01/01/2021;696635,6206;566635,1088;1219,1;270;12700
01/01/2022;680766,7621;611324,9213;1233,9;300;72800
01/01/2023;166558,86;166558,86;820,36;325;100000
