"Est-ce que vous  voulez  participer à l’étude ?";"Fréquentez vous le restaurant universitaire ?";"Quel est votre sexe?";"Bénéficiez-vous d'une quelconque aide?";"De quelle aide s'agit-il?";"Quel est votre cycle d'étude??";"Année de cycle";"Quelle est votre filière?";"Pouvez-vous nous préciser la filière s'il vous plait?";"Residez-vous en cité universitaire?";"Suivez-vous un régime  alimentaire particulier?";"Veuillez nous précisez le regime dont il est question :";"A quelle fréquence fréquentez vous le  RU?";"Quel est votre niveau de satisfaction générale?";"Les prix des repas vous semblent-ils adaptés à votre budget?";"Qu'en est il de la qualité des repas ?";"Êtes-vous satisfait de la quantité servie?";"Quels sont les menus que vous avez pris dans la dernière semaine ?";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Haricot";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Riz sauce";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Riz gras";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Degué";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Yaourt";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Crudité";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Hambourger";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Gonré";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Soupe";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Gâteau";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Alloco";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Couscous";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Haricot vert";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Tô";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Spaguetti";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Macoroni";"nbPlat";"Les plats servis sont-ils variés   ?";"Qu'en est il de l'hygiène au RU (locaux et matériels)  ?";"Comment trouvez-vous l'acceuil du personnel?";"Temps d'attente";"Rapport qualité/prix";"A combien estimez vous votre budget mensuel alloué au RU?";"Avez_vous des suggestions à faire pour améliorer le RU?";"Veuillez entrer vos suggestions :";"Pour quelles raisons vous ne prenez pas les services du RU ?";"Pour quelles raisons vous ne prenez pas les services du RU ?/Qualité médiocre des repas";"Pour quelles raisons vous ne prenez pas les services du RU ?/Prix trop élevés";"Pour quelles raisons vous ne prenez pas les services du RU ?/Files d’attente trop longues";"Pour quelles raisons vous ne prenez pas les services du RU ?/Horaires inadaptés";"Pour quelles raisons vous ne prenez pas les services du RU ?/Manque d'hygiène";"Pour quelles raisons vous ne prenez pas les services du RU ?/Préférence pour d’autres options (fast-food, repas maison…)";"Pour quelles raisons vous ne prenez pas les services du RU ?/Autres à préciser";"Veuillez préciser les raisons de votre non fréquentation du RU";"APPRECIATION DES SERVICES DU RESTAURANT UNIVERSITAIRE";"_uuid";"_index"
"Oui, je  veux y participer";"Oui, je fréquente";"Féminin";"oui";"Bourse";"Licence";"1ere";"LPAS";"";"non";"non";"";"Rarement";"Peu satisfait";"oui";"Bonne";"Très satisfait";"Yaourt";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"Oui";"Pas bonne";"Bon";"20 à 40 mn";"Bon";"300";"oui";"Améliorer l'hygiène, améliorer la qualité de conservation des produits laitiers comme le yaourt, le degué";"";"";"";"";"";"";"";"";"";"";"6a8f7f0e-3006-4b6d-968d-37f14b0505d9";"1"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"oui";"Bourse";"Licence";"1ere";"LPAS";"";"oui";"non";"";"Tous les jours";"satisfait";"oui";"Bonne";"satisfait";"Riz sauce Riz gras Yaourt Spaguetti";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"4";"Oui";"Pas bonne";"Bon";"20 à 40 mn";"Bon";"4500";"oui";"Améliorer l'hygiène ,  propreté, le temps d'attente";"";"";"";"";"";"";"";"";"";"";"103358a8-e5e7-4f87-9950-f0d19c5d5921";"2"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"oui";"Bourse";"Licence";"1ere";"LPAS";"";"non";"non";"";"Tous les jours";"satisfait";"oui";"Bonne";"satisfait";"Haricot Riz sauce";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"Non";"Pas bonne";"Bon";"20 à 40 mn";"Pas bon";"5000";"oui";"Améliorer l'hygiène, Variation des plats, Améliorer un peu la qualité de la nourriture.";"";"";"";"";"";"";"";"";"";"";"cf311948-b3b6-4e0f-942f-052cf0828515";"3"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"oui";"Bourse";"Licence";"1ere";"LPAS";"";"oui";"non";"";"Tous les jours";"satisfait";"oui";"Pas bonne";"satisfait";"Riz sauce Riz gras Yaourt Spaguetti";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"4";"Oui";"Pas bonne";"Bon";"20 à 40 mn";"Bon";"2500";"oui";"Augmenter le nombre menus , améliorer l'hygiène, augmenter les sections";"";"";"";"";"";"";"";"";"";"";"222f5746-b4ac-468f-9e0d-39007feca5ca";"4"
"Oui, je  veux y participer";"Oui, je fréquente";"Féminin";"oui";"Prêt";"Licence";"1ere";"LPAS";"";"non";"non";"";"Rarement";"Peu satisfait";"oui";"Bonne";"Très satisfait";"Riz gras Degué";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"Oui";"Pas bonne";"Pas bon";"40 à 1h";"Bon";"500";"oui";"Un meilleur nettoyage du matériel de cuisine (plat, plateau, assiette, cuillère, etc.), Améliorer la qualité des plats ( éviter les cailloux), proposer une quantité proportionnelle à chacun pour éviter le gaspillage( par exemple mettre en petite quantité et permettre à ceux qui le veulent de majorer c'est-à-dire ajouter la quantité).";"";"";"";"";"";"";"";"";"";"";"1ce5157e-0ba9-4e37-9b53-660fadc4aa18";"5"
"Oui, je  veux y participer";"Oui, je fréquente";"Féminin";"oui";"Bourse";"Licence";"1ere";"LPAS";"";"oui";"non";"";"Quelques fois par semaine";"Pas du tout satisfait";"oui";"Pas bonne";"satisfait";"Riz gras";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"Non";"Pas bonne";"Pas bon";"20 à 40 mn";"Bon";"2000";"oui";"Varier les menus, améliorer l'hygiène, résoudre le soucis d'attente etc";"";"";"";"";"";"";"";"";"";"";"a1a266bd-9fbd-439d-8e9d-d68b37afdec3";"6"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"oui";"Bourse";"Licence";"1ere";"LPAS";"";"non";"non";"";"Tous les jours";"satisfait";"oui";"Bonne";"satisfait";"Haricot Riz sauce Riz gras Degué Yaourt";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"Oui";"Bonne";"Bon";"20 à 40 mn";"Bon";"2000";"oui";"DIminuer le temps d'attente";"";"";"";"";"";"";"";"";"";"";"63842092-10ca-484d-8609-1037f8842842";"7"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"oui";"Bourse";"Licence";"1ere";"LPAS";"";"oui";"non";"";"Tous les jours";"Peu satisfait";"oui";"Bonne";"Peu satisfait";"Haricot Riz sauce Riz gras";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"Oui";"Pas bonne";"Pas bon";"1h et plus";"Bon";"6000";"oui";"Revoir le coté hygiène (matériels), augmenter les menus et la quantité pour chaque menu, augmenter l'heure d'arrêt..";"";"";"";"";"";"";"";"";"";"";"5358586b-f38a-4c52-ace7-910a40a66627";"8"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"oui";"Bourse";"Licence";"1ere";"LPAS";"";"non";"non";"";"Tous les jours";"Peu satisfait";"oui";"Bonne";"satisfait";"Riz gras Yaourt";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"Non";"Pas bonne";"Bon";"20 à 40 mn";"Bon";"7000";"oui";"Augmenter les sections de services, augmenter les plats,";"";"";"";"";"";"";"";"";"";"";"7e53d5a8-28a0-4222-8e36-bb1935c05e2f";"9"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"oui";"Bourse";"Licence";"1ere";"LPAS";"";"non";"non";"";"Quelques fois par semaine";"Peu satisfait";"oui";"Bonne";"Très satisfait";"Riz gras Degué";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"Non";"Pas bonne";"Bon";"20 à 40 mn";"Pas bon";"1000";"oui";"Diminuer le cube magie dans la nourriture et bien nettoyer les plats";"";"";"";"";"";"";"";"";"";"";"6f914e38-f09b-4f7d-bfb1-76607e220ca7";"10"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"oui";"Bourse";"Licence";"2e";"LPAS";"";"non";"non";"";"Rarement";"satisfait";"oui";"Bonne";"satisfait";"Riz sauce Riz gras Yaourt";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"Oui";"Pas bonne";"Pas bon";"20 à 40 mn";"Bon";"2000";"oui";"Trouver une solution par rapport au temp d'attente , Améliorer l'hygiène";"";"";"";"";"";"";"";"";"";"";"bf44a14d-c0cf-46f9-a655-5ffd3e45f024";"11"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"oui";"Bourse";"Licence";"1ere";"LPAS";"";"non";"non";"";"Quelques fois par semaine";"Peu satisfait";"oui";"Pas bonne";"satisfait";"Haricot Riz sauce Riz gras Degué";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"Non";"Pas bonne";"Bon";"20 à 40 mn";"Bon";"3000";"non";"";"";"";"";"";"";"";"";"";"";"";"34ed576f-30a3-48bc-b868-e8c19a1b7f59";"12"
"Oui, je  veux y participer";"Non, je ne fréquente pas!";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Manque d'hygiène";"0";"0";"0";"0";"1";"0";"0";"";"";"f571027a-907f-4da4-96d7-025fd752365b";"13"
"Oui, je  veux y participer";"Oui, je fréquente";"Féminin";"oui";"Bourse";"Licence";"1ere";"LPAS";"";"oui";"non";"";"Rarement";"Peu satisfait";"oui";"Bonne";"satisfait";"Haricot Riz sauce Riz gras Degué Macoroni";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"5";"Oui";"Pas bonne";"Pas bon";"20 à 40 mn";"Bon";"3000";"oui";"Plus accueillante, améliorer l'hygiène, augmenter le nombre du personnelle";"";"";"";"";"";"";"";"";"";"";"eca73119-445e-45dd-9c38-3d22ca5643fe";"14"
"Oui, je  veux y participer";"Non, je ne fréquente pas!";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Horaires inadaptés";"0";"0";"0";"1";"0";"0";"0";"";"";"bd0d97a3-23c6-404f-99b3-d3cadbeeae39";"15"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"oui";"Bourse";"Licence";"2e";"LPAS";"";"non";"oui";"Allergies";"Quelques fois par semaine";"Peu satisfait";"oui";"Pas bonne";"satisfait";"Haricot Riz sauce Degué Yaourt";"1";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"Oui";"Pas bonne";"Pas de tout bon";"40 à 1h";"Bon";"3000";"non";"";"";"";"";"";"";"";"";"";"";"";"093776a3-9b73-4988-9865-cb702df38567";"16"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"oui";"Bourse";"Licence";"2e";"LPAS";"";"non";"non";"";"Rarement";"Peu satisfait";"oui";"Pas bonne";"satisfait";"Riz sauce Riz gras";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"Oui";"Pas bonne";"Bon";"20 à 40 mn";"Pas bon";"2500";"oui";"Il faut éviter de diluer la sauce servie le soir , servir du poisson ou de la viande de bonne qualité, Renouvellement du matériel pour les étudiants(assiettes, cuillères, plateaux)";"";"";"";"";"";"";"";"";"";"";"a6a17228-8b97-421d-a526-0faee082e2a3";"17"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"oui";"Bourse";"Licence";"1ere";"LPAS";"";"oui";"non";"";"Tous les jours";"Peu satisfait";"oui";"Bonne";"satisfait";"Riz sauce Riz gras Degué";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"Oui";"Pas bonne";"Bon";"40 à 1h";"Pas bon";"7000";"oui";"Qualité nourriture à revoir, Augmenter les sections pour faciliter les services.";"";"";"";"";"";"";"";"";"";"";"ebfd4683-7576-4442-967c-6986faf6be70";"18"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"oui";"Bourse";"Licence";"1ere";"LPAS";"";"oui";"non";"";"Quelques fois par semaine";"Peu satisfait";"oui";"Bonne";"satisfait";"Riz sauce Degué";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"Oui";"Pas bonne";"Bon";"20 à 40 mn";"Bon";"5000";"oui";"Hygiène et qualité, Augmenter le nombre du personnel pour faciliter le service";"";"";"";"";"";"";"";"";"";"";"7353375d-4888-4398-8bc8-4bb7614a9c08";"19"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"oui";"Bourse";"Licence";"1ere";"LPAS";"";"non";"non";"";"Tous les jours";"satisfait";"oui";"Bonne";"satisfait";"Haricot Riz sauce Riz gras";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"Oui";"Bonne";"Pas bon";"Moins de 20 mn";"Très bon";"3000";"oui";"Maximiser sur l'hygiène";"";"";"";"";"";"";"";"";"";"";"7771eb72-082b-4488-a56e-9d1eb6e4010b";"20"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"oui";"Bourse";"Licence";"1ere";"LPAS";"";"non";"non";"";"Tous les jours";"satisfait";"oui";"Bonne";"satisfait";"Haricot Riz sauce Riz gras Yaourt Spaguetti";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"5";"Oui";"Pas bonne";"Pas bon";"20 à 40 mn";"Bon";"7000";"oui";"Améliorer l'hygiène , la réception.";"";"";"";"";"";"";"";"";"";"";"aa9267a1-7130-4023-86ae-6f0637c457b1";"21"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"oui";"Bourse";"Licence";"1ere";"LPAS";"";"non";"non";"";"Tous les jours";"satisfait";"oui";"Bonne";"satisfait";"Haricot Riz sauce Riz gras Degué Yaourt";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"Oui";"Pas bonne";"Bon";"20 à 40 mn";"Bon";"6000";"oui";"Améliorer l'hygiène des locaux et du matériels";"";"";"";"";"";"";"";"";"";"";"632e0e96-7e08-4596-9ea7-1d674c46116d";"22"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"oui";"Bourse";"Licence";"1ere";"LPAS";"";"non";"non";"";"Tous les jours";"Peu satisfait";"oui";"Pas bonne";"satisfait";"Haricot Riz sauce Riz gras";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"Oui";"Pas de tout bonne";"Pas de tout bon";"40 à 1h";"Bon";"2000";"oui";"Revoir le personnel sur un certain nombre de plan notamment sur la propreté du matériels, l'accueil etc.";"";"";"";"";"";"";"";"";"";"";"041db1d8-df05-43e9-9c46-bfa5d05b0870";"23"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"oui";"Bourse";"Licence";"2e";"LPAS";"";"non";"non";"";"Tous les jours";"satisfait";"oui";"Bonne";"Très satisfait";"Riz sauce Degué Spaguetti Macoroni";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"4";"Oui";"Pas bonne";"Pas bon";"20 à 40 mn";"Très bon";"4000";"oui";"Ouvrir plusieurs guichets pour diminuer les longues files d'attente; Miser sur la proprièté des plateaux et accessoirs;";"";"";"";"";"";"";"";"";"";"";"b94ebfc1-7fc5-4efb-bcea-79f0648b26cb";"24"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"oui";"Bourse";"Licence";"1ere";"LPAS";"";"non";"non";"";"Quelques fois par semaine";"Peu satisfait";"oui";"Bonne";"Très satisfait";"Haricot Riz gras";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"Oui";"Bonne";"Bon";"40 à 1h";"Bon";"3000";"oui";"Varier les plats surtout dans la soirée";"";"";"";"";"";"";"";"";"";"";"def4dc74-9ace-4178-9b0f-f7035f5e7f17";"25"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"oui";"Bourse";"Licence";"1ere";"LPAS";"";"non";"non";"";"Tous les jours";"satisfait";"oui";"Bonne";"Très satisfait";"Riz gras Spaguetti";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"Oui";"Pas bonne";"Pas bon";"40 à 1h";"Très bon";"6000";"oui";"L'hygiene (proprièté)";"";"";"";"";"";"";"";"";"";"";"cf918c82-1f40-4e5d-8a8e-4a825021f147";"26"
